sub_id,targets_match,mean_rt,pc
1.0,match,743.116599137,0.938775510204
2.0,match,662.837933124,0.992592592593
3.0,match,711.155741492,0.917910447761
4.0,match,732.123727361,0.976
5.0,match,638.662072888,0.928057553957
6.0,match,677.404772808,0.931034482759
7.0,match,687.890279951,0.980392156863
8.0,match,722.91076891,0.9609375
9.0,match,728.652417982,0.985074626866
10.0,match,596.661071002,0.895161290323
11.0,match,654.071680609,0.887218045113
12.0,match,617.495964167,0.929078014184
13.0,match,634.045405452,0.957446808511
14.0,match,755.081251058,0.95
15.0,match,611.969792755,0.8515625
1.0,not_match,778.735022449,1.0
2.0,not_match,702.411968898,1.0
3.0,not_match,754.530253823,1.0
4.0,not_match,798.701021162,1.0
5.0,not_match,671.413271024,1.0
6.0,not_match,721.682866689,1.0
7.0,not_match,747.373338246,1.0
8.0,not_match,783.085490991,1.0
9.0,not_match,761.838217195,1.0
10.0,not_match,614.406377042,1.0
11.0,not_match,672.715246182,1.0
12.0,not_match,669.974499348,0.992248062016
13.0,not_match,673.759876755,0.992248062016
14.0,not_match,804.084001587,1.0
15.0,not_match,612.626510055,1.0
